,0,
0,グランピングマスター,2750
1,ビア缶チキン野郎,2200
2,ソーセージ盛り&自家製ベーコン,1080
3,炭焼き肉の3種盛り（牛・豚・鶏）,2200
4,ラムチョップ（1本）,580
5,牛ハラミのグリエ,1280
6,オリーブ盛り,298
7,クリームチーズ味噌漬け,420
8,かぶのアンチョビマリネ,298
9,ねぎとろカナッペ,320
10,自家製燻製各種,1080
11,小松菜キムチ,498
12,前菜の盛合せ,1280
13,豊洲直送　本日のカルパッチョ,880
14,ローストビーフ,720
15,新鮮！生牡蠣,1080
16,西船橋 平野農園からの朝採れ小松菜サラダ　小／大,500
17,菜彩鶏とアボカドのコブサラダ,880
18,彩りバーニャカウダ,920
19,毛沢東唐揚げ,630
20,エリンギアンチョビバター,630
21,海老とエリンギのアヒージョ,700
22,熟成サバとトマトのアヒージョ,0
23,砂肝とニンニクの芽の激辛アヒージョ,700
24,タコとじゃがいものアヒージョ,780
25,カマンベールとトマトの味噌アヒージョ,800
26,バケット,200
27,ガーリックトースト／アンチョビトースト,250
28,特大ミラノ風デカピザ,1540
29,ハーフサイズピザ,798
30,炭ボナーラ,1080
31,アラビアータ,1080
32,たっぷりしらすのペペロンチーノ,1080
33,スモークサーモンのクリームパスタ,1180
34,ボンゴレビアンコ,1180
35,魚介のペスカトーレ,1280
36,魚介のパエリア,1280
37,ロコモコ丼,0
38,ミニ牛ハラミ丼,0
39,飯盒炊飯,380
40,炭シフォンケーキ,550
41,炭焼きまっ黒バナナ,498
42,ニューヨークチーズケーキ,550
43,カタラーナ,550
44,ガトーショコラ,550
45,【Drink】 コーヒー(HOT/ICE),480
