,0,
0,◆*◇*゜ Wine ゜*◇*◆,498
1,◆*◇*゜ Beer ゜*◇*◆,498
2,ジョッキDEモヒート,650
3,ビームハイボール,420
4,いろんなハイボール,480
5,カクテル各種,498
6,クライナー,600
7,テキーラショット,660
8,リキュールなどを入れてオリジナルモヒートも！！,650
9,カールスバーグ(生),520
10,ギネス,700
11,コロナ,630
12,コロナバケツ5本セット,2750
13,シャンディガフ/ディーゼル/レッドアイ,520
14,サワー各種,398
15,生レモンサワー/生グレープフルーツサワー/梅干サワー,520
16,グラスワイン（赤・白）,498
17,グラススパークリング,550
18,サングリア（赤・白・スパークリング）,640
19,【Sparkring】 バルディビエソ　リミティッドブリュット,1
20,【白】カサ・ベナサル　グヴェルツトラミネール/モスカテル,730
21,【白】 ロベティア　シャルドネ,640
22,【白】ウィーマーラ　ピノ・グリ,830
23,【赤】ロベティア　テンプラニーリョ,640
24,【赤】ウィマーラ　シラーズノ　ヴィオニエ,830
25,【赤】 バヌール　カベルネ・ソーヴィニヨン　リザーヴ　オーク・エイジド,750
26,キール/キティ/スプリッツァー/オペレータ,520
27,南高梅酒,550
28,あらごしもも酒 / あらごしりんご酒,660
29,黒霧島(芋) / いいちこ(麦) / 白岳(米),550
30,雷門,550
31,カシス/ピーチ/グレープフルーツ/レモン,398
32,【AMERICAN】ジムビーム,420
33,【AMERICAN】メーカーズマーク,680
34,【AMERICAN】I.W.ハーパー,650
35,【AMERICAN】ジャックダニエル,620
36,【SCOTCH】バランタインファイネスト,620
37,【SCOTCH】ラフロイグ,880
38,【SCOTCH】タリスカー,780
39,【SCOTCH】ボウモア12年,860
40,【CANADIAN】カナディアンクラブ,650
41,【IRISH】ジェムソン,680
42,【JAPANESE】知多,770
43,ロベティア　テンプラニーリョ,3000
44,レ・タンヌ　オクシタン　メルロー,3500
45,トスカーナ　ロッソ,3800
46,ケープ・ハイツ　カベルネ・ソーヴィニヨン,2800
47,ストーン・ヴァレー　レッド・ブレンド,4000
48,ウィマーラ　シラーズノ　ヴィオニエ,5000
49,ナーリー・ヘッド　1924ダブル・ブラック,6500
50,アモーレ・エテルノ　オーガニック　ロッソ,5500
51,バヌール　カベルネ・ソーヴィニヨン　リザーヴ　オーク・エイジド,4200
52,ハンドクラフト　ピノ・ノワール,4500
53,フロイデ　リーブフラウミルヒ　Ｑ．ｂ．Ａ,3200
54,ロベティア　シャルドネ,3000
55,レ・タンヌ　オクシタン　ソーヴィニヨン・ブラン,3500
56,マール・デ・リスボア　白,3800
57,カサ・ベナサル　ゲヴェルツトラミネール/モスカテル,4200
58,サンアントニオ　ソアーヴェ　フォンタナ,4000
59,ハンドクラフト　シャルドネ,4500
60,ウィマーラ　ピノ・グリ,5000
61,パインリッジ　シュナン・ブラン/ヴィオニエ,6500
62,ケーブ・ハイツ　ヴィオニエ,2800
63,バルディビエソ　リミティッドブリュット,3300
64,シャロック　カバ　ブルット・ナトゥーレ,4500
65,アスティ　セッコ　958,4000
66,モエ・エ・シャンドン　ブリュット　アンペリアル,11000
67,各種,380
68,アップルタイザー,500
