,0,
0,グランピングマスター,2750
1,ビア缶チキン野郎,2200
2,黒マルゲリータ,1540
3,炭ボナーラ,1080
4,ハニークリーム炭豆腐,520
5,炭シフォンケーキ,550
6,オリーブ盛り,298
7,FESのポテサラ,420
8,かぶのアンチョビ,298
9,長芋醤油漬け,380
10,揚げ茄子味噌,320
11,平野農園の小松菜キムチ,498
12,ネギトロカナッペ,320
13,さつまいもチップス,298
14,菜彩鳥を使った蒸し鶏ゴマダレ,420
15,おまかせ燻製3種盛り,1080
16,燻製枝豆,350
17,燻製チーズ,380
18,燻製Mixナッツ,380
19,燻製鶉たまご,380
20,燻製いぶりがっこ,350
21,燻製明太子,420
22,燻製サーモン,498
23,燻製豚タン,550
24,FESのポテサラ,420
25,新鮮グリーンサラダ,500
26,平野さん家の朝採れ小松菜さらだ,500
27,生ハムのシーザーサラダ,680
28,菜彩鶏とアボカドのコブサラダ,880
29,バーニャカウダ,920
30,おまかせ前菜の盛り合わせ,1280
31,ハモンセラーノ（生ハム）,520
32,ハニークリーム炭豆腐,520
33,エビとアボカドのタルタル仕立て,520
34,タコのマリネ,520
35,短角牛の自家製ローストビーフ,720
36,厳選チーズの盛り合わせ,820
37,本日の鮮魚　カルパッチョ,880
38,新鮮！生牡蠣,1080
39,エビとエリンギ,700
40,砂肝とニンニクの芽　激辛アヒージョ,700
41,タコとじゃがいも,780
42,カマンベールチーズとトマト　味噌アヒージョ,800
43,バケット,200
44,アンチョビトースト,250
45,ガーリックトースト,250
46,みんな大好きポテトフライ,450
47,自家製ダレの大きな唐揚げ,580
48,毛沢東チキン唐揚げ,630
49,山芋の素揚げ,480
50,エリンギアンチョビバター,630
51,伸び～るモッツアレラフライ,550
52,ムール貝の白ワイン蒸し,750
53,グランピングマスター,2750
54,ビア缶チキン野郎,2200
55,魚介のパエリア,1280
56,飯盒炊飯,380
57,炭焼き肉の3種盛り（牛/豚/鶏）,2200
58,3種のソーセージと自家製ベーコン盛り,1080
59,菜彩鶏とネギ一本焼き,850
60,イベリコ豚肩ロース（１５０ｇ）,980
61,牛ハラミのグリエ（１５０ｇ）,1280
62,ラムチョップ（1本）,580
63,ネギ塩タン（国産豚）,720
64,直径30㎝のデカピザ,1540
65,ハーフサイズピザ,798
66,炭ボナーラ,1080
67,アラビアータ,1080
68,たっぷりしらすのペペロンチーノ,1080
69,スモークサーモンのクリームパスタ,1180
70,ボンゴレビアンコ,1180
71,魚介のペスカトーレ,1280
72,自家製ローストビーフ丼,1100
73,魚介のパエリア,1280
74,炭シフォンケーキ,550
75,炭焼き真っ黒バナナ,498
76,ニューヨークチーズケーキ,550
77,自家製ガトーショコラ,550
78,カタラーナ,550
79,バニラアイス,280
