,0
0,カールスバーグ（生）
1,サントリーモルツ
2,ギネス
3,バドワイザー
4,コロナ
5,ビアカクテル 各種
6,サワー各種
7,フレッシュサワー 各種
8,ジムビームハイボール
9,いろんなハイボール
10,ワイン 各種
11,ワインカクテル 各種
12,果実酒
13,焼酎 各種
14,雷門
15,アメリカン 各種
16,スコッチ 各種
17,カナディアン
18,アイリッシュ
19,ジャパン 各種
20,カクテル 各種
21,ジョッキ DE モヒート
22,FESハイ
23,ノンアルコール 各種
24,ソフトドリンク 各種
25,アップルタイザー
26,ロベティア テンプラニーリョ
27,レ・タンヌ オクシタン メルロー
28,トスカーナ ロッソ
29,ケープ・ハイツ カベルネ・ソーヴィニヨン
30,ストーン・ヴァレー レッド・ブレンド
31,ウィマーラ シラーズ/ヴィオニエ
32,ナーリー・ヘッド 1924 ダブル・ブラック
33,アモーレ・エテルノ オーガニック ロッソ
34,バヌール カベルネ・ソーヴィニヨン リザーヴ オーク・エイジド
35,ハンドクラフト ピノ・ノワール
36,バルディビエソ リミティッドブリュット
37,シャロック カバ ブルット・ナトゥ―レ
38,アスティ セッコ 958
39,モエ・エ・シャンドン ブリュット アンぺリアル
40,フロイデ リープフラウミルヒ Q.b.A
41,ロベティア シャルドネ
42,レ・タンヌ オクシタン ソーヴィニヨン・ブラン
43,マール・デ・リスボア 白
44,カサ・ベナサル ケヴェルツトラミネール/モスカテル
45,サンアントニオ ソアーヴェ フォンタナ
46,ハンドクラフト シャルドネ
47,ウィマーラ ピノ・グリ
48,パインリッジ シエナン・ブラン/ヴィオニエ
49,ケープ・ハイツ ヴィオニエ
50,料理の特徴に合わせたクラフトビール選びをお楽しみください！【休止中】
51,496
52,オンザクラウド
53,デイドリーム
54,コープランド
55,アフターダーク
56,ジャズベリー
57,グランドキリン JPL
58,グランドキリン IPA
59,ブルックリンラガー
60,よなよなエール
61,水曜日のネコ
62,ペールエール
63,ヒメホワイト
64,インドの青鬼
65,ホワイトエール
66,だいだいエール
67,ゆずラガー
68,東京アイピーエー
69,東京ホワイト
70,金しゃち名古屋赤味噌ラガー
71,プレミアム リッチ エール
72,TOKYO BLUES
73,ブルックリンディフェンダー IPA
74,
