,names,desc,price
0,カールスバーグ(生),,498
,樽生ヒューガルデン ホワイト(生),,798
,サントリー オールフリー(瓶),,480
2,ビアカクテル各種,"・シャンディガフ（生＋ジンジャーエール）
・レッドアイ（生＋トマトジュース）
・カシスビア（生＋カシス）
・ルナミスト（生＋カルピス）
・ディーゼル（生＋コーラ）
・ビアスプリッツァ（生＋白ワイン）
・ビターオレンジ（生＋オレンジジュース）
・カルーアビア（生＋カルーア）
・ドッグズノーズ（生＋ジン）",600
,輸入ビール各種,"【メキシコ】コロナ 640円
【アメリカ】バドワイザー 640円
【アイルランド】ギネス 680円
【オランダ】ハイネケン 660円
【北海道】小樽ダーク 700円
【中国】チンタオ 660円
【ベトナム】バーバーバー 780円
【アメリカ】アンカーリバティエール 850円
【アメリカ】グースIPA 900円
【ベルギー】オルヴァル 980円
【ベルギー】シメイビール ブルー 880円
【ベルギー】デュベル 980円
【チェコ】ピルスナー ウルケル 820円
【フランス】クローネンブルグブラン 900円",
13,生搾り果実サワー各種,"・生レモン
・生グレープフルーツ
・生キウイ
・梅干",550
14,サワー各種,"・レモン　　　　　　398円
・グレープフルーツ　398円
・ライム　　　　　　398円
・カルピス　　　　　398円
・ウーロンハイ　　　398円
・緑茶ハイ　　　　　398円",
15,ジムビームハイボール,,420
,角ハイボール,,500
,スコッチウイスキー各種,"・アイラ・ボウモア12年 1,000円
・スペサイド・マッカラン12年 1,100円
・アイランド・タリスカー10年 1,100円
・バランタインFINEST 700円",
,その他ウイスキー各種,"・ブッシュミルズ 800円
・I.W.ハーパー 700円
・ジャックダニエル 700円
・カナディアンクラブ 700円
・山崎 1,000円
・白州 1,000円",
16,梅酒各種,"・南高梅酒
・赤い梅酒
・ゆず梅酒
・レモン梅酒
・はちみつ梅酒",550
17,果実酒各種,"・あらごしみかん
・あらごしりんご
・あらごしもも",680
18,カクテル各種,"＜リキュール＞
・カシス 498円
・ピーチ 548円
・ディタ 598円
・カンパリ 498円
・マリブ 498円
・カルーア 548円
・ウォッカ 498円
・テキーラ 498円
・ジン 498円
・ラム 498円
・アマレット 548円
・ティフィン 598円
・マンゴヤン 598円
・コアントロー 598円
・ミドリ 598円
・パッソア 598円

※オレンジジュース、グレープフルーツジュース、コーラ、ジンジャーエール、ソーダ、トニックウォーター、牛乳でお好きなリキュール割ります。",
20,ワインカクテル各種,"・サングリア 赤白
・キール（白＋カシス）
・スプリッツァー（白＋ソーダ）
・オペレーター（白＋ジンジャー）
・キティ（赤＋ジンジャー）
・カーディナル（赤＋カシス）
・カルモーチョ（赤＋コーラ）
・ワインクーラー（赤＋オレンジジュース）",598
21,マンゴー☆マンゴー,マンゴヤン＋マンゴージュース＋レモン,698
22,パッションフルーツソーダ,パッソア＋パッションフルーツシロップ＋ソーダ,698
23,トロピカルティーソーダ,ティフィン＋パッションフルーツシロップ＋ソーダ,698
24,ラズベリースプリッツァー,白ワイン＋ラズベリーシロップ＋ソーダ,698
25,グリーンアップルワイン,白ワイン＋グリーンアップルシロップ＋ライム,698
26,Fresh カシ・グレ,カシス＋生グレープフルーツしぼり,698
27,マンゴーBeer,マンゴージュース＋ビール,698
28,ラズベリーティーソーダ,ラズベリーシロップ＋紅茶＋ソーダ,498
29,パッションフルーツティーソーダ,パッションフルーツシロップ＋紅茶＋ソーダ,498
31,ノンアルコール各種,"----------------------------------------------
カシス／ピーチ／ライチ／青りんご/巨峰/レモン
----------------------------------------------
　　　　　　　　　　×
----------------------------------------------
オレンジジュース／グレープフルーツジュース
ジンジャーエール／コーラ／ウーロン
ミルク／ソーダ／カルピス
----------------------------------------------",398
,カヴァ ヴィジェガ ブリュット,"スペイン産　品種：マカベオ　チャレッロ　パレリャーダ
光輝く黄金色、きめ細かい泡立ち　すっきりドライで切れのある味わい",2980
,マクギガン スパークリング シラーズ,"オーストラリア産　品種：シラーズ
オーストラリアの太陽をたっぷり浴びた、甘いスパイスの香りが印象的。　お肉にも合う赤いスパークリングです。",3300
,アドリアン ロメ ヴァンムスー ブリュット,"フランス（ロワール）産　品種：カリニャン　グルナッシュ　カベルネフラン
シャンパンと同じ二次発酵を行ったスパークリングワイン。すっきりとフレッシュな味わい。繊細な中辛口。",3850
,ヴーヴ ペリティエ ブリュット,"フランス（シャンパーニュ）産　品種：ピノノワール　ピノムニエ　シャルドネ
豊かな泡立ちと黒ブドウを主体とし、しっかりとしたボディ。長い余韻。一流の生産者が造る、シャンパーニュならではの味をお楽しみいただけます。",6820
,モエエシャンドンロゼ,"フランス（シャンパーニュ）産　品種：ピノノワール　シャルドネ　ピノムニエ　
グラマラスで誘惑的なシャンパン。きめ細かい泡。フルーティでのイチゴのような香りはっきりとした果実味と柔らかな喉ごし。特別な日にいかがですか？",10000
,プリモロッソ,"イタリア産　品種：カベルネ、レフォスコ、マルヴァジア　　
チャーミングな、深紅の果実感が堪能できる赤スパークリング。ボトルもイタリアらしいデザインが特徴。",4950
,サンタリタ カヴァンサ カベルネ・ソーヴィニヨン,"チリ産　品種：カベルネソーヴィニヨン
深みのある果実の味わい　まろやかでバランスの取れたワイン",2700
,テッスート プリミティーヴォ,"イタリア産　品種：プリミティーヴォ
熟した果実とスパイス感　程よいタンニン　ちょうどよく、心地よい",2900
,アルティガ　ガルナッチャ,"スペイン産　品種：ガルナッチャ
陽気な国スペインの品種ガルナッチャ。豊かなボディがあるバランスの良いワイン。",3000
,アルマドール カベルネ・ソーヴィニヨン,"チリ産　品種：カベルネソーヴィニヨン
オーガニックの葡萄。濃厚なフルボディ。ベリーやカシス。濃厚果実と飲みごたえ。",3900
,レガート　ムニョス,"スペイン産　品種：ガルナッチャ
果実感爆発、濃厚ジャムのようなワイン。カシスやプラムの中甘口、タンニン。",3900
,ペール　ギヨ　ガメイ,"フランス産　品種：ガメイ
ブルゴーニュのガメイを使った、バランスの良いミディアムボディ。チェリーやプラム",2900
,シャトー ムーランディッサン,"フランス（ボルドー）産　品種：メルロー　カベルネソーヴィニヨン
マルゴー格付け３級のシャトー・ディッサンの造るワイン。　メルロー比率が多く、口当たりもソフトでまろやか。",7980
,セコイア・グローヴ,"USA産　品種：カベルネソーヴィニヨン
今はやりのUSA、なパスワイン！高級ワイン、オーパスワインの隣の畑のワイナリー。超濃厚、果実感。",10800
,サンタリタ カヴァンサ シャルドネ,"チリ産　品種：シャルドネ
トロピカルな柑橘系　樽熟成によるバニラの香り　まろやかでバランスの取れたワイン",2700
,シェーラ シュバルツ カッツ,"ドイツ産　品種：リースリング　ミュラートゥルガウ
『黒猫』の名で親しまれているドイツの甘口ワイン。　完熟マンゴーを思わせる香り。",2800
,スワートランド　シュナンブラン,"南アフリカ産　品種：シュナンブラン
近年レベルが急上昇している南アワイン。洋ナシやパッションのアロマ、キレのある味。",2980
,リアスバイシャス アルバリノ,"スペイン産　品種：アルバリノ
スペインの高級品種。　海から塩の影響を受けたキリっとした辛口白ワイン。",3300
,メナージュ ア トロワ ピノグリージョ,"アメリカ（カリフォルニア）産　品種：ピノグリージョ
フルーティでいてブドウの味わいがストレートに伝わってくるワイン。フレッシュなマスカット！",3850
,アルマドール　ソーヴィニヨンブラン,"チリ産　品種：ソーヴィニヨンブラン
極辛口、南米チリの青い果実、キレのあるドライな味わい。オーガニック葡萄。",3850
,モマ　ビアンコ,"イタリア（エミリア・ロマーニャ）産　品種：シャルドネ　トレッビアーノ
アロマと酸味、果実の印象が強い辛口白。洋食にマッチする味わいが特徴。",3850
,ハイツセラー シャルドネ,"アメリカ（カリフォルニア）産　品種：シャルドネ
ナパヴァレー産、樽熟成のフルボディ白！黄金に輝く、濃厚なシャルドネ。",7500
45,【米】白岳しろ,,600
46,【芋】黒霧島,,550
48,【麦】いいちこ,,550
52,ソフトドリンク各種,"・ウーロン茶
・緑茶
・トマトジュース
・トニックウォーター
・100％オレンジジュース
・100％グレープフルーツジュース
・ジンジャーエール
・コーラ
・アイスティー
・コーヒー",380
