,names,desc,price
0,サントリーモルツ,,528
1,サントリーオールフリー,,550
2,コロナビール,,605
3,ウーロンハイ/緑茶ハイ/酎ハイ,,418
4,罠ハイボール,"宮内庁御用無の罠ハイボール
罠秘伝のオリジナルブレンドのお酒！ココでしか飲めない！ハマる！",429
5,マルスハイボール,"鹿児島の酒蔵【本坊酒造】さんが作ったウイスキー。
甘味があって飲みやすい。",495
6,グレートリッチサワー,贅沢な生レモンサワーです。お代わりは350円(税込385円)でレモンが一つずつ追加されてだんだんリッチになっていきます！,495
7,梅干しサワー,,495
8,梅酒サワー,,528
9,どぶハイ,にごり酒をソーダで割ったお酒,550
10,宇治抹茶ハイ,,550
11,塩レモンサワー/塩トマトサワー,自家製の塩シリーズは絶品ですよ,550
12,ホッピーセット(白・黒),,528
13,ホッピー(外),,220
14,梅割,,385
15,葡萄割,,440
16,梅割セット,3杯,1100
17,ホッピー（中）,,220
18,加茂鶴（広島）,"グラス90ml…480円(税込528円)
一合180ml…880円(税込968円)",528
19,北秋田（秋田）,"グラス90ml…480円(税込528円)
一合180ml…880円(税込968円)",528
20,澤乃井（東京）,"グラス90ml…480円(税込528円)
一合180ml…880円(税込968円)",528
21,国盛にごり酒（愛知）,"グラス90ml…480円(税込528円)
一合180ml…880円(税込968円)",528
22,飛騨のどぶ（岐阜）,"グラス90ml…580円(税込638円)
一合180ml…980円(税込1,078円)",638
23,【芋】瀞とろ,"ハーフボトル…3500円(税込3,850円)",528
24,【芋】子鹿,"ハーフボトル…3500円(税込3,850円)",528
25,【麦】高千穂　黒麴,"ハーフボトル…3500円(税込3,850円)",528
26,蜂酎,隠れメニューです。裏名物でメニューには載せていないのでお気軽にスタッフまで,977
27,葡萄街道,"グラス150ml…500円(税込550円)
計売り750ml…2,500円(税込2,750円)",550
28,蒼龍,"グラス150ml…500円(税込550円)
計売り…2,500円(税込2,750円)",550
29,村民還元,"グラス150ml…500円(税込550円)
計売り…2,800円(税込3,080円)",605
30,村民還元,"グラス150ml…500円(税込550円)
計売り750ml…2,500円(税込2,750円)",605
31,蒼龍,"グラス150ml…450円(税込495円)
計売り750ml…2,400円(税込2,640円)",550
32,ウーロン茶/緑茶,,330
33,ハイシー（瓶）,,385
34,コーラ（瓶）,セットの方のみ,385
35,ラムネ（瓶）,,385
36,カルピス,,385
