id,month_key,date,week,top,photo,photo_info,rating,menu,map,coupon,p_coupon,seat,other,total
1,2020-09,2020-09-01,"火",53,26,14,16,13,3,1,0,3,9,138
2,2020-09,2020-09-02,"水",68,8,1,42,23,10,13,0,6,31,202
3,2020-09,2020-09-03,"木",52,10,2,15,21,2,5,0,8,21,136
4,2020-09,2020-09-04,"金",66,22,20,24,34,8,9,0,5,30,218
5,2020-09,2020-09-05,"土",98,25,8,37,30,16,8,0,8,54,284
6,2020-09,2020-09-06,"日",52,21,57,10,24,6,7,0,7,11,195
7,2020-09,2020-09-07,"月",49,3,3,5,18,11,7,0,4,23,123
8,2020-09,2020-09-08,"火",53,14,44,18,38,4,8,0,5,8,192
9,2020-09,2020-09-09,"水",75,26,37,25,39,5,12,0,7,16,242
10,2020-09,2020-09-10,"木",59,12,5,21,27,13,3,0,0,14,154
11,2020-09,2020-09-11,"金",44,2,1,4,32,10,2,0,1,4,100
12,2020-09,2020-09-12,"土",97,17,18,38,46,11,19,0,7,32,285
13,2020-09,2020-09-13,"日",65,7,2,32,22,5,3,0,3,17,156
14,2020-09,2020-09-14,"月",41,3,15,6,9,2,1,0,4,5,86
15,2020-09,2020-09-15,"火",60,5,18,12,19,5,3,0,8,5,135
16,2020-09,2020-09-16,"水",40,18,17,7,19,4,3,0,4,12,124
17,2020-09,2020-09-17,"木",66,19,8,36,42,2,8,0,29,49,259
18,2020-09,2020-09-18,"金",69,24,11,37,26,2,16,0,12,45,242
19,2020-09,2020-09-19,"土",120,11,7,16,39,17,11,0,13,36,270
20,2020-09,2020-09-20,"日",54,14,2,29,17,2,7,0,3,14,142
21,2020-09,2020-09-21,"月",73,32,13,32,32,10,14,0,8,31,245
22,2020-09,2020-09-22,"火",37,10,23,6,13,1,7,0,4,16,117
23,2020-09,2020-09-23,"水",45,21,11,33,17,5,5,0,4,15,156
24,2020-09,2020-09-24,"木",54,19,12,46,14,5,8,0,10,21,189
25,2020-09,2020-09-25,"金",47,14,7,1,15,4,2,0,5,9,104
26,2020-09,2020-09-26,"土",70,16,10,38,26,18,6,0,9,24,217
27,2020-09,2020-09-27,"日",48,11,4,8,19,4,1,0,4,9,108
28,2020-09,2020-09-28,"月",55,4,1,16,33,6,1,0,5,20,141
29,2020-09,2020-09-29,"火",53,3,0,14,16,6,3,0,1,12,108
30,2020-09,2020-09-30,"水",32,19,29,8,14,6,3,0,2,2,115
31,2020-08,2020-08-01,"土",67,15,8,43,28,3,4,0,5,18,191
32,2020-08,2020-08-02,"日",75,20,5,18,49,7,9,0,2,2,187
33,2020-08,2020-08-03,"月",38,17,6,7,10,3,2,0,2,16,101
34,2020-08,2020-08-04,"火",42,4,3,3,11,5,0,0,3,6,77
35,2020-08,2020-08-05,"水",46,7,1,10,21,2,1,0,3,8,99
36,2020-08,2020-08-06,"木",36,14,7,14,54,0,6,0,8,15,154
37,2020-08,2020-08-07,"金",68,8,5,12,14,7,12,0,9,18,153
38,2020-08,2020-08-08,"土",72,14,5,35,13,8,4,0,6,17,174
39,2020-08,2020-08-09,"日",52,3,1,15,32,4,5,0,4,13,129
40,2020-08,2020-08-10,"月",71,23,13,21,31,12,6,0,5,16,198
41,2020-08,2020-08-11,"火",35,10,7,9,6,7,3,0,5,11,93
42,2020-08,2020-08-12,"水",39,2,10,17,21,4,2,0,6,9,110
43,2020-08,2020-08-13,"木",32,6,3,34,16,0,3,0,8,10,112
44,2020-08,2020-08-14,"金",44,18,42,7,13,5,4,0,4,15,152
45,2020-08,2020-08-15,"土",45,10,12,31,23,4,7,0,5,14,151
46,2020-08,2020-08-16,"日",62,8,5,14,23,11,4,0,7,27,161
47,2020-08,2020-08-17,"月",54,27,78,76,27,8,6,0,5,10,291
48,2020-08,2020-08-18,"火",43,13,3,5,11,3,0,0,3,17,98
49,2020-08,2020-08-19,"水",48,6,2,7,14,7,4,0,3,14,105
50,2020-08,2020-08-20,"木",36,0,2,8,7,0,0,0,5,4,62
51,2020-08,2020-08-21,"金",50,8,7,16,23,7,2,0,5,7,125
52,2020-08,2020-08-22,"土",30,8,2,15,5,7,2,0,4,12,85
53,2020-08,2020-08-23,"日",52,11,6,19,16,6,7,0,4,14,135
54,2020-08,2020-08-24,"月",49,14,10,12,10,3,3,0,1,15,117
55,2020-08,2020-08-25,"火",53,7,3,14,18,1,1,0,1,5,103
56,2020-08,2020-08-26,"水",52,15,7,12,20,3,2,0,6,11,128
